7,1,358,52
7,1,111,26
7,1,177,26
7,0,34,26
7,0,89,26
7,1,219,157
7,1,287,130
7,1,202,130
7,1,50,130
7,0,163,131
7,1,100,131
7,1,52,52
7,0,397,130
7,1,231,131
7,0,398,156
7,0,285,130
7,0,176,130
7,0,119,130
7,1,333,130
7,1,133,156
7,0,217,130
7,0,167,156
7,0,322,131
7,1,119,130
7,0,281,157
7,0,202,130
7,0,95,52
7,0,373,157
7,1,40,157
7,0,296,131
7,0,316,130
7,0,317,130
7,0,197,157
7,0,209,131
7,1,41,26
7,1,248,157
7,0,352,157
7,0,29,52
7,0,210,130
7,1,198,130
7,0,238,156
7,1,223,130
7,1,201,156
7,1,210,156
7,0,88,156
7,0,111,157
7,1,328,130
7,1,99,131
7,0,129,156
7,0,27,131
7,1,247,131
7,0,224,130
7,1,290,156
7,1,29,26
7,0,135,130
7,0,56,52
7,0,150,130
7,1,151,130
7,0,27,130
7,1,18,26
7,1,291,131
7,0,259,130
7,0,243,131
7,1,25,26
7,1,307,130
7,1,333,130
7,1,204,156
7,0,240,156
7,0,261,130
7,0,316,131
7,1,15,52
7,0,252,130
7,1,392,157
7,0,42,26
7,0,22,26
7,1,340,130
7,1,203,131
7,0,103,130
7,0,53,52
7,0,274,156
7,0,82,130
7,0,286,156
7,0,263,130
7,1,17,26
7,0,30,26
7,1,264,156
7,1,187,131
7,0,60,26
7,1,197,130
7,0,146,130
7,0,68,26
7,1,362,130
7,1,106,104
7,0,2,131
7,0,352,131
7,1,186,104
7,0,155,130
7,1,109,130
7,1,55,26
7,0,239,104
7,0,207,104
7,0,191,104
7,1,154,104
7,1,36,26
7,0,41,52
7,0,198,130
7,1,106,131
7,1,212,104
7,1,211,105
7,0,185,156
7,1,340,130
7,0,167,156
7,0,244,130
7,1,40,131
7,0,360,130
7,0,286,130
7,0,270,130
7,1,272,130
7,1,325,130
7,1,344,156
7,0,200,130
